推,噓,分數,作者,標題,時間
16,16,0,LoveMakeLove (愛がすべて),[問卦]  平常汽機車加95突然變98會怎樣？,Thu Apr 30 11:56:54 2020
7,7,0,nikubou5566 (隼人),[問卦] FF8啥時會出重製版,Thu Apr 30 12:01:42 2020
12,12,0,alexenderpp (亞歷山大),[問卦] “台灣人不會說台語”下一句要怎麼回？,Thu Apr 30 11:51:46 2020
2,2,0,chnet3214 (嘟嘴[秋內]),[問卦] 一輩子都戴口罩是好事,Thu Apr 30 11:58:12 2020
0,0,0,oopalmoo (PTT壞了500收),[問卦] 中老年人換車首選非雙B不可？,Thu Apr 30 11:54:21 2020
0,0,0,ggian123 (小孩當國文老師打斷他腿),[問卦] 五月要到了 鬼島人民該怎麼保護自己,Thu Apr 30 12:07:02 2020
0,0,0,aya16810 (深紅眼鏡),[問卦] 以後會有價目表嗎？,Thu Apr 30 12:09:34 2020
1,1,0,aa44 (享受被噓的快感),[問卦] 你各位上班都花多少時間上PTT?,Thu Apr 30 11:50:16 2020
0,0,0,waverson (),[問卦] 你各位觀念要改一改了,Thu Apr 30 12:09:51 2020
6,6,0,junkjizz5566 (黑澤),[問卦] 假如看到有人拿刀應該要？,Thu Apr 30 12:01:32 2020
